id,img_min,img_max,img_mean,img_std,msk_min,msk_max,shape,img_path,mask_path
img_0000.npy,0.0,0.8377361,0.50004613,0.10041563,0,1,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/images/img_0000.npy,/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/masks/img_0000.npy
img_0001.npy,0.0,0.83176494,0.50000006,0.05897346,0,1,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/images/img_0001.npy,/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/masks/img_0001.npy
img_0002.npy,0.0,1.0,0.49353364,0.18149652,0,1,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/images/img_0002.npy,/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/masks/img_0002.npy
img_0003.npy,0.38099757,0.6092548,0.49999994,0.021397354,0,0,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/images/img_0003.npy,/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/masks/img_0003.npy
img_0004.npy,0.34437925,0.6233905,0.49999997,0.021757912,0,0,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/images/img_0004.npy,/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/masks/img_0004.npy
img_0005.npy,0.0,1.0,0.50442874,0.1731482,0,0,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/images/img_0005.npy,/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/masks/img_0005.npy
img_0006.npy,0.0,1.0,0.49747157,0.21945606,0,1,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/images/img_0006.npy,/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/masks/img_0006.npy
img_0007.npy,0.39903194,0.61883,0.5000001,0.022097284,0,0,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/images/img_0007.npy,/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/masks/img_0007.npy
img_0008.npy,0.0,1.0,0.4959889,0.2186976,0,0,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/images/img_0008.npy,/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/masks/img_0008.npy
img_0009.npy,0.0,1.0,0.49900925,0.18520163,0,0,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/images/img_0009.npy,/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/masks/img_0009.npy
img_0010.npy,0.0,1.0,0.49633914,0.23956399,0,1,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/images/img_0010.npy,/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/masks/img_0010.npy
img_0011.npy,0.37724265,0.624794,0.5,0.02385954,0,0,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/images/img_0011.npy,/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/masks/img_0011.npy
img_0012.npy,0.04721069,0.87898177,0.50000006,0.10850679,0,1,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/images/img_0012.npy,/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/masks/img_0012.npy
img_0013.npy,0.0,1.0,0.5005889,0.18697657,0,1,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/images/img_0013.npy,/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/masks/img_0013.npy
img_0014.npy,0.0,1.0,0.4999084,0.13508429,0,1,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/images/img_0014.npy,/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/masks/img_0014.npy
img_0015.npy,0.09348684,0.96454954,0.4999999,0.09241342,0,1,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/images/img_0015.npy,/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/masks/img_0015.npy
img_0016.npy,0.0,1.0,0.49516225,0.17102295,0,1,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/images/img_0016.npy,/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/masks/img_0016.npy
img_0017.npy,0.0,1.0,0.5001591,0.18677108,0,1,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/images/img_0017.npy,/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/masks/img_0017.npy
img_0018.npy,0.0,1.0,0.49684432,0.11479116,0,1,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/images/img_0018.npy,/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/masks/img_0018.npy
img_0019.npy,0.0,1.0,0.4997815,0.20372224,0,1,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/images/img_0019.npy,/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/masks/img_0019.npy
img_0020.npy,0.36784285,0.6320064,0.5000001,0.025719654,0,1,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/images/img_0020.npy,/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/masks/img_0020.npy
img_0021.npy,0.0,1.0,0.49393427,0.13311864,0,1,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/images/img_0021.npy,/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/masks/img_0021.npy
img_0022.npy,0.39010903,0.6170496,0.5000001,0.022277953,0,0,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/images/img_0022.npy,/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/masks/img_0022.npy
img_0023.npy,0.36823997,0.6017011,0.50000006,0.021406362,0,0,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/images/img_0023.npy,/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/masks/img_0023.npy
img_0024.npy,0.0,1.0,0.49958694,0.15892956,0,0,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/images/img_0024.npy,/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/masks/img_0024.npy
img_0025.npy,0.0,1.0,0.49899018,0.14908732,0,1,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/images/img_0025.npy,/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/masks/img_0025.npy
img_0026.npy,0.40019706,0.59783864,0.5000001,0.020691598,0,0,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/images/img_0026.npy,/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/masks/img_0026.npy
img_0027.npy,0.0,1.0,0.48087704,0.25953752,0,1,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/images/img_0027.npy,/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/masks/img_0027.npy
img_0028.npy,0.26314738,0.7557651,0.50000006,0.06033419,0,1,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/images/img_0028.npy,/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/masks/img_0028.npy
img_0029.npy,0.4894927,0.5130916,0.49999985,0.0019694066,0,0,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/images/img_0029.npy,/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/masks/img_0029.npy
img_0030.npy,0.493237,0.5062034,0.50000006,0.00101469,0,0,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/images/img_0030.npy,/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/masks/img_0030.npy
img_0031.npy,0.0,1.0,0.48910403,0.23776223,0,1,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/images/img_0031.npy,/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/masks/img_0031.npy
img_0032.npy,0.0,1.0,0.49997565,0.13176803,0,1,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/images/img_0032.npy,/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/masks/img_0032.npy
img_0033.npy,0.0,1.0,0.49026927,0.20568329,0,1,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/images/img_0033.npy,/home/grva-mint/Projects/Falhas/Dataset/marlim_opt_2/masks/img_0033.npy
