id,img_min,img_max,img_mean,img_std,msk_min,msk_max,shape,img_path,mask_path
0.npy,0.0,1.0,0.49723646,0.21166617,0.0,1.0,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/images/0.npy,/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/masks/0.npy
1.npy,0.0,1.0,0.49648064,0.18459904,0.0,1.0,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/images/1.npy,/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/masks/1.npy
10.npy,0.0,1.0,0.4961582,0.18549855,0.0,1.0,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/images/10.npy,/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/masks/10.npy
100.npy,0.0,1.0,0.4965505,0.20306596,0.0,1.0,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/images/100.npy,/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/masks/100.npy
101.npy,0.0,1.0,0.4970074,0.2104931,0.0,1.0,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/images/101.npy,/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/masks/101.npy
102.npy,0.0,1.0,0.49666166,0.18775663,0.0,1.0,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/images/102.npy,/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/masks/102.npy
103.npy,0.0,1.0,0.4963696,0.19211158,0.0,1.0,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/images/103.npy,/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/masks/103.npy
104.npy,0.0,1.0,0.49576324,0.1909736,0.0,1.0,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/images/104.npy,/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/masks/104.npy
105.npy,0.0,1.0,0.4951323,0.21340652,0.0,1.0,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/images/105.npy,/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/masks/105.npy
106.npy,0.0,1.0,0.49591774,0.18725169,0.0,1.0,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/images/106.npy,/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/masks/106.npy
107.npy,0.0,1.0,0.49553117,0.17889316,0.0,1.0,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/images/107.npy,/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/masks/107.npy
108.npy,0.0,1.0,0.4952355,0.20151384,0.0,1.0,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/images/108.npy,/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/masks/108.npy
109.npy,0.0,1.0,0.49664932,0.20040862,0.0,1.0,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/images/109.npy,/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/masks/109.npy
11.npy,0.0,1.0,0.49585006,0.19267486,0.0,1.0,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/images/11.npy,/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/masks/11.npy
110.npy,0.0,1.0,0.49481827,0.18867199,0.0,1.0,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/images/110.npy,/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/masks/110.npy
111.npy,0.0,1.0,0.4963471,0.1903153,0.0,1.0,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/images/111.npy,/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/masks/111.npy
112.npy,0.0,1.0,0.49553618,0.2064324,0.0,1.0,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/images/112.npy,/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/masks/112.npy
113.npy,0.0,1.0,0.49919355,0.17588425,0.0,1.0,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/images/113.npy,/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/masks/113.npy
114.npy,0.0,1.0,0.4965882,0.18028131,0.0,1.0,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/images/114.npy,/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/masks/114.npy
115.npy,0.0,1.0,0.49654192,0.18461755,0.0,1.0,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/images/115.npy,/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/masks/115.npy
116.npy,0.0,1.0,0.496473,0.18665886,0.0,1.0,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/images/116.npy,/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/masks/116.npy
117.npy,0.0,1.0,0.49719816,0.1823023,0.0,1.0,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/images/117.npy,/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/masks/117.npy
118.npy,0.0,1.0,0.49607232,0.1955266,0.0,1.0,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/images/118.npy,/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/masks/118.npy
119.npy,0.0,1.0,0.49545792,0.17945798,0.0,1.0,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/images/119.npy,/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/masks/119.npy
12.npy,0.0,1.0,0.4952836,0.19656509,0.0,1.0,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/images/12.npy,/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/masks/12.npy
120.npy,0.0,1.0,0.49433044,0.1955507,0.0,1.0,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/images/120.npy,/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/masks/120.npy
121.npy,0.0,1.0,0.49699116,0.18646094,0.0,1.0,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/images/121.npy,/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/masks/121.npy
122.npy,0.0,1.0,0.49585313,0.18597838,0.0,1.0,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/images/122.npy,/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/masks/122.npy
123.npy,0.0,1.0,0.49428788,0.18580489,0.0,1.0,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/images/123.npy,/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/masks/123.npy
124.npy,0.0,1.0,0.49558747,0.20022768,0.0,1.0,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/images/124.npy,/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/masks/124.npy
125.npy,0.0,1.0,0.4957487,0.18901627,0.0,1.0,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/images/125.npy,/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/masks/125.npy
126.npy,0.0,1.0,0.49699077,0.2037836,0.0,1.0,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/images/126.npy,/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/masks/126.npy
127.npy,0.0,1.0,0.49417785,0.18140453,0.0,1.0,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/images/127.npy,/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/masks/127.npy
128.npy,0.0,1.0,0.49704066,0.18290448,0.0,1.0,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/images/128.npy,/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/masks/128.npy
129.npy,0.0,1.0,0.49517643,0.21125996,0.0,1.0,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/images/129.npy,/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/masks/129.npy
13.npy,0.0,1.0,0.49571282,0.21292509,0.0,1.0,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/images/13.npy,/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/masks/13.npy
130.npy,0.0,1.0,0.49704495,0.18077315,0.0,1.0,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/images/130.npy,/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/masks/130.npy
131.npy,0.0,1.0,0.49499726,0.2116202,0.0,1.0,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/images/131.npy,/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/masks/131.npy
132.npy,0.0,1.0,0.4960068,0.18491764,0.0,1.0,"(128, 128, 128)",/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/images/132.npy,/home/grva-mint/Projects/Falhas/Dataset/dataset_wu/masks/132.npy
