modelo,rede,janela,iou_teste,overlap,patch,fatia,recall,deteccao,precisao,f1,sticks,falhas_gt,len_p50,len_total,len_total_gt
model_11,unet3d_v2,128×128×128,0.7585,,1200,16,0.516,0.455,0.247,0.334,87,33,196.1,21991,7454
model_1,unet3d_v2,128×128×128,0.7784,,1200,16,0.51,0.455,0.349,0.415,71,33,189.0,17463,7454
model_3,unet3d_v2,128×128×128,0.7736,,1200,16,0.501,0.485,0.322,0.392,67,33,187.0,15702,7454
model_12,unet3d_v2,128×128×128,0.6948,,1200,16,0.464,0.364,0.237,0.314,73,33,189.0,18210,7454
model_14,segresnet,128×128×128,0.7442,,1200,16,0.45,0.364,0.278,0.344,65,33,184.0,15111,7454
model_5,unet3d_v2,128×128×128,0.7765,,1200,16,0.374,0.333,0.384,0.379,44,33,174.0,8850,7454
model_2,unet3d_v2,128×128×128,0.7676,,1200,16,0.33,0.242,0.281,0.304,49,33,168.0,9581,7454
model_9,unet3d_v2,128×128×128,0.7774,,1200,16,0.313,0.242,0.446,0.368,31,33,167.0,6455,7454
model_6,unet3d_v2,128×128×128,0.7343,,1200,16,0.301,0.273,0.331,0.315,38,33,185.0,7602,7454
model_15,unet3d_v2,128×128×128,0.7706,,1200,16,0.278,0.212,0.341,0.306,31,33,165.0,6908,7454
model_16,unet3d_v2,64×64×64,0.7916,0.25,1200,16,0.046,0.03,0.327,0.081,7,33,157.0,1127,7454
model_4,unet3d_v2,128×128×128,0.753,,1200,16,0.011,0.0,0.047,0.018,10,33,153.0,1853,7454
model_17,unet3d_v2,32×32×32,0.7863,0.25,1200,16,0.01,0.0,0.201,0.018,2,33,153.5,307,7454
model_8,unet3d_v2,128×128×128,0.7631,,1200,16,0.0,0.0,0.0,0.0,0,33,0.0,0,7454
model_1,unet3d_v2,128×128×128,0.7784,,1300,52,0.513,0.417,0.218,0.306,70,24,193.0,16284,5345
model_3,unet3d_v2,128×128×128,0.7736,,1300,52,0.507,0.458,0.202,0.289,68,24,193.1,15051,5345
model_2,unet3d_v2,128×128×128,0.7676,,1300,52,0.371,0.292,0.231,0.285,51,24,173.0,9994,5345
model_5,unet3d_v2,128×128×128,0.7765,,1300,52,0.334,0.25,0.229,0.272,46,24,183.5,9289,5345
model_16,unet3d_v2,64×64×64,0.7916,0.25,1300,52,0.142,0.125,0.61,0.231,7,24,182.0,1302,5345
model_17,unet3d_v2,32×32×32,0.7863,0.25,1300,52,0.111,0.125,0.883,0.197,4,24,146.0,619,5345
model_1,unet3d_v2,128×128×128,0.7784,,1400,24,0.466,0.5,0.288,0.356,56,18,186.5,12921,5605
model_3,unet3d_v2,128×128×128,0.7736,,1400,24,0.458,0.5,0.251,0.324,62,18,180.5,13202,5605
model_2,unet3d_v2,128×128×128,0.7676,,1400,24,0.366,0.444,0.232,0.284,48,18,177.0,9346,5605
model_5,unet3d_v2,128×128×128,0.7765,,1400,24,0.328,0.333,0.376,0.35,30,18,164.0,6102,5605
model_16,unet3d_v2,64×64×64,0.7916,0.25,1400,24,0.157,0.222,0.569,0.246,9,18,159.0,1501,5605
model_17,unet3d_v2,32×32×32,0.7863,0.25,1400,24,0.112,0.167,0.621,0.19,5,18,173.0,862,5605
model_3,unet3d_v2,128×128×128,0.7736,,2600,8,0.436,0.433,0.425,0.43,73,30,190.1,17438,13087
model_5,unet3d_v2,128×128×128,0.7765,,2600,8,0.404,0.467,0.583,0.477,44,30,226.5,10850,13087
model_1,unet3d_v2,128×128×128,0.7784,,2600,8,0.394,0.367,0.394,0.394,64,30,198.0,15826,13087
model_2,unet3d_v2,128×128×128,0.7676,,2600,8,0.387,0.4,0.443,0.413,66,30,167.0,12649,13087
model_16,unet3d_v2,64×64×64,0.7916,0.25,2600,8,0.076,0.0,0.808,0.14,7,30,141.0,1096,13087
model_17,unet3d_v2,32×32×32,0.7863,0.25,2600,8,0.07,0.0,0.704,0.127,7,30,161.0,1173,13087
