modelo,rede,janela,iou_teste,overlap,patch,fatia,recall,deteccao,precisao,f1,sticks,falhas_gt,len_p50,len_total,len_total_gt
model_19,resaceunet_grva,128×128×128,0.7791,0.25,1200,16,0.396,0.273,0.182,0.25,64,33,198.5,17177,7454
model_16,unet3d_v2,64×64×64,0.7916,0.25,1200,16,0.17,0.152,0.713,0.275,8,33,187.0,1662,7454
model_17,unet3d_v2,32×32×32,0.7863,0.25,1200,16,0.087,0.061,0.428,0.145,7,33,185.0,1430,7454
model_8,unet3d_v2,128×128×128,0.7631,,1200,16,0.0,0.0,0.0,0.0,0,33,0.0,0,7454
model_16,unet3d_v2,64×64×64,0.7916,0.25,1300,52,0.134,0.083,0.419,0.203,9,24,161.0,1600,5345
model_17,unet3d_v2,32×32×32,0.7863,0.25,1300,52,0.12,0.083,0.599,0.2,6,24,162.5,1002,5345
model_16,unet3d_v2,64×64×64,0.7916,0.25,1400,24,0.186,0.222,0.454,0.264,11,18,186.0,2081,5605
model_17,unet3d_v2,32×32×32,0.7863,0.25,1400,24,0.074,0.111,0.457,0.127,4,18,195.0,756,5605
model_16,unet3d_v2,64×64×64,0.7916,0.25,2600,8,0.097,0.0,0.684,0.17,10,30,158.6,1687,13087
model_17,unet3d_v2,32×32×32,0.7863,0.25,2600,8,0.048,0.033,0.696,0.091,5,30,160.0,843,13087
