modelo,rede,janela,iou_teste,overlap,patch,fatia,recall,deteccao,precisao,f1,sticks,falhas_gt,len_p50,len_total,len_total_gt
model_14,resaceunet,128×128×128,0.7279,,1200,16,0.627,0.545,0.268,0.376,70,33,242.0,21343,7454
model_3,unet3d_v2,128×128×128,0.7548,,1200,16,0.623,0.545,0.285,0.391,63,33,225.0,18575,7454
model_12,resaceunet,128×128×128,0.5452,,1200,16,0.565,0.485,0.238,0.335,74,33,224.5,20976,7454
model_1,unet3d_v2,128×128×128,0.736,,1200,16,0.557,0.455,0.28,0.373,67,33,255.0,20768,7454
model_5,unet3d_v2,128×128×128,0.6168,,1200,16,0.482,0.364,0.324,0.388,51,33,212.0,12039,7454
model_11,resaceunet,128×128×128,0.59,,1200,16,0.467,0.424,0.187,0.267,82,33,214.0,22238,7454
model_2,unet3d_v2,128×128×128,0.7491,,1200,16,0.453,0.394,0.281,0.347,55,33,212.1,14142,7454
model_9,resaceunet,128×128×128,0.7479,,1200,16,0.409,0.303,0.326,0.363,38,33,229.5,9722,7454
model_6,unet3d_v2,128×128×128,0.5993,,1200,16,0.404,0.364,0.295,0.341,48,33,201.0,10921,7454
model_8,resaceunet,128×128×128,0.7509,,1200,16,0.339,0.273,0.382,0.359,26,33,223.5,7387,7454
model_1,unet3d_v2,128×128×128,0.736,,1300,52,0.655,0.542,0.195,0.301,73,24,229.0,20258,5345
model_3,unet3d_v2,128×128×128,0.7548,,1300,52,0.601,0.625,0.188,0.286,70,24,231.5,19131,5345
model_5,unet3d_v2,128×128×128,0.6168,,1300,52,0.342,0.292,0.163,0.221,47,24,210.0,11741,5345
model_2,unet3d_v2,128×128×128,0.7491,,1300,52,0.338,0.25,0.136,0.194,59,24,194.1,13368,5345
model_1,unet3d_v2,128×128×128,0.736,,1400,24,0.563,0.611,0.247,0.343,53,18,230.0,13777,5605
model_3,unet3d_v2,128×128×128,0.7548,,1400,24,0.484,0.5,0.191,0.274,57,18,221.0,14737,5605
model_5,unet3d_v2,128×128×128,0.6168,,1400,24,0.399,0.444,0.258,0.314,42,18,172.0,8555,5605
model_2,unet3d_v2,128×128×128,0.7491,,1400,24,0.377,0.444,0.184,0.247,55,18,192.1,12140,5605
model_1,unet3d_v2,128×128×128,0.736,,2600,8,0.484,0.5,0.363,0.415,71,30,229.0,19239,13087
model_3,unet3d_v2,128×128×128,0.7548,,2600,8,0.476,0.567,0.391,0.429,68,30,219.1,17231,13087
model_2,unet3d_v2,128×128×128,0.7491,,2600,8,0.451,0.4,0.448,0.45,59,30,203.0,14079,13087
model_5,unet3d_v2,128×128×128,0.6168,,2600,8,0.399,0.467,0.518,0.451,44,30,208.5,10758,13087
