trial,timestamp,model_id,status,iou_wu,faultCount_max,faultCount_min,faultCurveMax,faultCurveProb,faultDecaySigma_max,faultDecaySigma_min,faultDipAngle_max,faultDipAngle_min,faultRoughSigma,faultRoughness,faultThreshold,faultThrow_max,faultThrow_min,faultZoneWidth,foldAmplitude_max,foldAmplitude_min,foldBaseShift_max,foldBaseShift_min,foldCount_max,foldCount_min,foldDamping,foldSigma_max,foldSigma_min,layerRange_max,layerRange_min,layerThickness_max,layerThickness_min,noiseLevel_max,noiseLevel_min,shearGradient_max,shearGradient_min,shearOffset_max,shearOffset_min,waveletDt,waveletDuration,waveletFreq_max,waveletFreq_min
1,2026-06-10T18:28:11.538217,model_2,COMPLETE,0.192165,9,4,4.645269111408631,0.0801927682679985,64,55,61,26,6.288734834278877,3.564532903055842,0.7146901982034297,41,6,1.4313157645099457,11,-23,5.99465584480253,0.3946844825669799,25,7,0.5617534828874073,107,4,338,75,7,3,0.2479989499626909,0.040419867405823,0.0208605906515607,-0.1669871882263819,1.8636872540532543,-9.664269782538964,0.0048453441488355,0.1433551198429333,97,41
2,2026-06-10T21:17:39.237992,model_3,COMPLETE,0.345557,15,4,5.813181884524238,0.1416007462335957,83,57,63,22,4.349164833625907,3.720741027826374,0.6798872582107739,19,3,0.9180559213122376,-1,-20,2.109126733153162,-1.0865140222985212,17,16,2.0602040635334324,46,33,271,41,3,2,0.5800499284956422,0.0002761058561801,0.0710603247863501,-0.0308901905184459,6.313496175208359,-1.334569094589856,0.0013942205669037,0.1203918200085654,347,32
3,2026-06-11T01:01:28.488506,model_4,COMPLETE,0.391557,13,5,6.445398843556558,0.3805709492570567,43,20,71,42,1.7669008308129994,3.992787128509848,0.5200491867534287,49,9,1.7001029047803171,-9,-35,5.377637070028385,-1.8618583729063851,22,13,1.4329469651469866,82,31,282,115,4,2,0.2383384443939492,0.0038489954914396,0.0051655109047556,-0.1150013134708491,7.154095569322449,-4.986867815092656,0.0015295917447123,0.1182216480105963,191,48
4,2026-06-11T04:35:18.810433,model_5,COMPLETE,0.199859,10,1,2.510693774952185,0.6755907417123722,125,41,63,25,4.89363078621793,7.600367927387634,0.9802474579046724,21,7,1.0999851252344468,15,-26,1.6603115471660606,-1.8869878375984763,68,27,3.18827389977048,110,9,333,49,7,4,0.3767413650987599,0.0304782166989948,0.0681620995767891,-0.0527573421339512,3.7033084146969215,-9.49271321203864,0.0006659912630953,0.0570292642690707,161,72
6,2026-06-11T07:39:40.982168,model_6,COMPLETE,0.401397,14,1,2.4234945249808004,0.5129164938758982,123,42,77,24,3.188484539883736,1.0354310869235308,0.4569885166223918,10,10,1.7343147709057214,0,-21,6.382661559715462,-0.459155123954162,21,9,1.547628723837983,110,32,305,109,6,3,0.4194005921680565,0.0328806446150171,0.0021518970245791,-0.0844343036922282,6.349066593932179,-2.2420493330837097,0.0043215053472238,0.1044522768761379,282,56
7,2026-06-11T11:22:09.037501,model_7,COMPLETE,0.151409,15,2,6.106820029101142,0.3003135235912513,156,64,50,37,5.9959335573318,7.498229938114077,0.50611422444871,56,15,2.176620802028192,5,-14,2.1714579267882668,-1.2761880716339764,40,30,2.230711653879077,83,32,192,41,4,2,0.4205397605580872,0.0348014898337486,0.0498651451521092,-0.1956231260423383,2.6057927183064185,-4.053026732123442,0.0047126964837235,0.0923841641195855,125,55
8,2026-06-11T13:35:18.841592,model_8,COMPLETE,0.486629,11,5,4.5449995634140645,0.2362518138833848,44,44,63,60,2.4868103683291247,3.629080668479608,0.6798512442953035,50,11,1.3243156398914124,1,-18,5.8606803680750845,-0.1672359558252023,72,17,1.38077553279348,90,27,254,41,4,3,0.3894581190356228,0.0063530256325942,0.0376288850484119,-0.1079583682050312,7.3493041441735345,-2.46220449561886,0.0021208578863506,0.1269380728857555,90,27
9,2026-06-11T16:59:27.136944,model_9,COMPLETE,0.123545,14,6,4.326124315068404,0.5296329958522494,119,51,56,27,7.266879979414265,2.7517002871521674,0.9684056964642358,30,11,0.9158545732810744,20,-17,5.771117168612222,-1.869652344705639,50,4,2.048901044903586,84,20,154,123,3,2,0.0593557676093413,0.0378923055232184,-0.0028451868096861,-0.1858778513583921,3.792285655292271,-9.020845236117184,0.0021018770539306,0.0522050286351504,193,83
10,2026-06-11T20:22:07.992178,model_10,COMPLETE,0.216417,4,3,1.037522068763558,0.6874249949629732,87,30,90,65,10.577616772780186,5.75874431633734,0.3549236694767464,35,14,0.3727550169856228,-10,-47,4.019680448849059,-2.927432698123617,60,23,3.4449416445168035,22,16,145,101,10,1,0.677663705494063,0.0192693988796433,0.0313045459788332,-0.1474555868788422,0.9099215573872677,-7.222081010679476,0.0035970328037758,0.0788049137940926,252,115
11,2026-06-11T23:58:51.591722,model_11,COMPLETE,0.556526,11,4,3.868777967032479,0.1995997904645626,42,41,88,58,9.13312989377447,5.256883626055133,0.8456102692429002,59,12,1.3591147981977505,2,-6,4.546126563207682,0.2814640577810792,78,17,0.8432552892253553,65,23,221,72,5,1,0.3336631796187401,0.0109589009178366,0.0382955928855287,-0.0773940936579542,7.845691938295585,-7.0706429225895455,0.0026965585560855,0.1497073921438891,102,101
12,2026-06-12T01:27:54.982884,model_12,COMPLETE,0.346852,7,3,3.305849993735739,0.1890547950838919,86,34,88,53,9.773904044722949,5.536936786746159,0.8627311068933057,60,13,2.229453026726657,6,-5,4.183581414116152,0.4365233673218821,75,20,0.6296025486229428,60,18,217,75,6,1,0.1071765246621672,0.0132197859269542,0.048253986779656,-0.0685984633946637,4.913256362202065,-7.429358198602845,0.0029696554272588,0.0243863399110611,240,106
13,2026-06-12T03:15:33.633576,model_13,COMPLETE,0.430771,5,4,3.4144003867057267,0.0507276339423662,64,37,82,54,8.920182507361655,5.449078976558313,0.8481314086542886,42,7,1.7114570894094383,-4,-5,4.068472064249553,-1.0138580617904094,36,13,2.685597376594279,63,12,225,76,5,1,0.3330240374154855,0.0136191477731697,0.0210865818101652,-0.1312400698776832,4.628654548770936,-11.841666876773957,0.002919825665568,0.1457979017612315,135,97
14,2026-06-12T05:07:28.149178,model_14,COMPLETE,0.458595,8,3,3.4798406630241008,0.4053616152484015,155,48,83,51,11.727881582769148,4.822768523254611,0.8644078998288668,25,5,0.5660266155381766,7,-34,2.9144533257105683,-2.799376377400997,59,12,0.9602536173680754,65,25,230,91,9,2,0.497526092237984,0.0207090256738971,0.0544228584906504,-0.0879582116196186,7.889058106777048,-6.92754888433625,0.0025621223702185,0.073124647096504,229,74
15,2026-06-12T06:52:17.406008,model_15,COMPLETE,0.458552,11,5,1.722652493476739,0.2760889947272407,102,18,72,38,8.434012762013566,6.382555166413931,0.6045034529139228,38,2,1.214938129958442,-5,-10,4.873532802307761,-0.0176619175906684,79,19,1.6897462171235909,45,3,130,92,8,1,0.299969516644782,0.009394934702284,0.0185532942413381,-0.0517628672085499,2.499002354613705,-6.308353070394769,0.0037869003193297,0.0948184206715989,131,92
16,2026-06-12T08:41:16.547420,model_16,COMPLETE,0.350546,6,4,5.326829609255489,0.1517575259351617,62,27,84,59,8.100150670494333,2.5173064602926742,0.7814817439411064,48,9,1.9590556328389668,3,-29,3.167717892291104,-0.6725481479180402,64,23,0.774546669629367,70,22,201,60,5,2,0.1629654592271886,0.0245805426260669,0.0377030848685178,-0.0340583455517548,5.897653772785366,-5.592001237067423,0.0012844853866028,0.0552507013709761,315,118
34,2026-06-12T12:58:36.273304,model_17,COMPLETE,0.509055,12,5,3.971908716580895,0.2296306091276551,52,47,79,61,5.150151020214118,4.657272660719426,0.9245593798122888,54,12,1.5091065606740652,9,-10,4.748448508409189,0.1365282606671632,72,16,1.125569473075838,95,27,250,60,3,1,0.482258676721644,0.0088720657817393,0.042111483878424,-0.0707601413794822,7.444850222878546,-8.105529230419688,0.0025895082462559,0.1356996974642507,102,65
35,2026-06-12T14:30:03.999628,model_18,COMPLETE,0.541689,12,4,3.9516007103539272,0.2123890040553999,53,47,79,56,5.086275996822669,4.718859888143722,0.9236254089168112,55,12,1.503064058965375,9,-10,4.656212645648052,0.1986601900935632,76,15,1.1150010279143063,53,28,246,64,5,1,0.48406509222966,0.0092018411234088,0.0283982288486576,-0.0642577344264304,6.820666994436971,-8.080774682150649,0.0024551879125974,0.1349591806870217,111,66
36,2026-06-12T15:54:03.388667,model_19,COMPLETE,0.471511,12,4,3.939277772064017,0.1071698885745165,54,37,87,47,5.607443554597813,4.40085758449148,0.9119061485894832,54,13,1.5370453535879085,10,-8,3.533224512147043,0.2093747042647423,79,15,1.1066826796555098,52,24,242,68,5,1,0.2865540821203258,0.0019869897729189,0.0277008868983215,-0.0747435808461768,6.826697900149965,-8.140764865679438,0.0032993759219331,0.1342215108557943,107,63
37,2026-06-12T17:44:09.606684,model_20,COMPLETE,0.603279,10,4,2.937497812261823,0.3566093598316228,73,39,74,57,3.782966921423745,6.308075972985061,0.8089155520648906,45,12,1.072812964484691,9,-13,5.11896801473077,0.1398418381957739,68,10,0.9136297864215052,36,6,176,66,6,1,0.5436207159833172,0.0054816500317182,0.0131996920763768,-0.0989029020284819,6.887338818792271,-10.569625139695347,0.0017157278772284,0.1366451193692585,86,80
