trial,timestamp,model_id,status,iou_wu,faultCount_max,faultCount_min,faultCurveMax,faultCurveProb,faultDecaySigma_max,faultDecaySigma_min,faultDipAngle_max,faultDipAngle_min,faultRoughSigma,faultRoughness,faultThreshold,faultThrow_max,faultThrow_min,faultZoneWidth,foldAmplitude_max,foldAmplitude_min,foldBaseShift_max,foldBaseShift_min,foldCount_max,foldCount_min,foldDamping,foldSigma_max,foldSigma_min,layerRange_max,layerRange_min,layerThickness_max,layerThickness_min,noiseLevel_max,noiseLevel_min,shearGradient_max,shearGradient_min,shearOffset_max,shearOffset_min,waveletDt,waveletDuration,waveletFreq_max,waveletFreq_min
1,2026-06-10T18:28:11.538217,model_2,COMPLETE,0.192165,9,4,4.645269111408631,0.08019276826799852,64,55,61,26,6.288734834278877,3.564532903055842,0.7146901982034297,41,6,1.4313157645099457,11,-23,5.99465584480253,0.39468448256697997,25,7,0.5617534828874073,107,4,338,75,7,3,0.2479989499626909,0.04041986740582306,0.020860590651560706,-0.16698718822638192,1.8636872540532545,-9.664269782538963,0.004845344148835518,0.1433551198429333,97,41
2,2026-06-10T21:17:39.237992,model_3,COMPLETE,0.345557,15,4,5.813181884524238,0.1416007462335957,83,57,63,22,4.349164833625907,3.720741027826374,0.6798872582107739,19,3,0.9180559213122377,-1,-20,2.109126733153162,-1.0865140222985212,17,16,2.0602040635334324,46,33,271,41,3,2,0.5800499284956422,0.00027610585618012,0.07106032478635015,-0.030890190518445937,6.313496175208359,-1.334569094589856,0.001394220566903776,0.12039182000856548,347,32
3,2026-06-11T01:01:28.488506,model_4,COMPLETE,0.391557,13,5,6.445398843556558,0.38057094925705676,43,20,71,42,1.7669008308129994,3.9927871285098475,0.5200491867534287,49,9,1.7001029047803171,-9,-35,5.377637070028385,-1.8618583729063853,22,13,1.4329469651469866,82,31,282,115,4,2,0.2383384443939492,0.00384899549143965,0.005165510904755646,-0.11500131347084913,7.154095569322449,-4.986867815092656,0.0015295917447123012,0.11822164801059633,191,48
4,2026-06-11T04:35:18.810433,model_5,COMPLETE,0.199859,10,1,2.510693774952185,0.6755907417123722,125,41,63,25,4.89363078621793,7.600367927387634,0.9802474579046725,21,7,1.0999851252344468,15,-26,1.6603115471660606,-1.8869878375984763,68,27,3.1882738997704796,110,9,333,49,7,4,0.3767413650987599,0.030478216698994844,0.06816209957678919,-0.052757342133951224,3.7033084146969224,-9.492713212038641,0.0006659912630953976,0.05702926426907079,161,72
5,2026-06-11T04:35:23.472765,N/A,FAIL,0.000000,7,6,6.620379932420407,0.30137797509534925,118,26,77,47,6.87697711214245,1.1161148024949932,0.7836564166717261,12,4,0.6836061438109812,13,-20,3.2066987963155196,-0.45124277985849126,47,7,1.212912631977199,44,35,169,36,4,4,0.2176620580148511,0.04386696766904905,0.002674630454624706,-0.10356055686654347,5.25147283070671,-5.044635863470626,0.004661121282253534,0.03475155776127658,172,38
6,2026-06-11T07:39:40.982168,model_6,COMPLETE,0.401397,14,1,2.4234945249808004,0.5129164938758982,123,42,77,24,3.188484539883736,1.0354310869235308,0.4569885166223918,10,10,1.7343147709057214,0,-21,6.382661559715462,-0.459155123954162,21,9,1.5476287238379827,110,32,305,109,6,3,0.4194005921680565,0.03288064461501717,0.002151897024579151,-0.08443430369222821,6.349066593932179,-2.2420493330837097,0.004321505347223802,0.10445227687613791,282,56
7,2026-06-11T11:22:09.037501,model_7,COMPLETE,0.151409,15,2,6.106820029101142,0.30031352359125135,156,64,50,37,5.9959335573318,7.498229938114077,0.50611422444871,56,15,2.176620802028192,5,-14,2.1714579267882668,-1.2761880716339764,40,30,2.2307116538790774,83,32,192,41,4,2,0.4205397605580872,0.03480148983374865,0.04986514515210927,-0.1956231260423383,2.6057927183064185,-4.053026732123442,0.004712696483723515,0.09238416411958553,125,55
8,2026-06-11T13:35:18.841592,model_8,COMPLETE,0.486629,11,5,4.5449995634140645,0.23625181388338484,44,44,63,60,2.4868103683291247,3.629080668479608,0.6798512442953035,50,11,1.3243156398914124,1,-18,5.8606803680750845,-0.16723595582520234,72,17,1.38077553279348,90,27,254,41,4,3,0.3894581190356228,0.006353025632594239,0.03762888504841197,-0.1079583682050312,7.3493041441735345,-2.4622044956188596,0.0021208578863506833,0.12693807288575557,90,27
9,2026-06-11T16:59:27.136944,model_9,COMPLETE,0.123545,14,6,4.326124315068404,0.5296329958522494,119,51,56,27,7.266879979414265,2.7517002871521674,0.9684056964642358,30,11,0.9158545732810743,20,-17,5.771117168612222,-1.869652344705639,50,4,2.048901044903586,84,20,154,123,3,2,0.05935576760934132,0.037892305523218456,-0.0028451868096861115,-0.18587785135839213,3.792285655292271,-9.020845236117184,0.002101877053930677,0.052205028635150474,193,83
10,2026-06-11T20:22:07.992178,model_10,COMPLETE,0.216417,4,3,1.037522068763558,0.6874249949629732,87,30,90,65,10.577616772780186,5.75874431633734,0.3549236694767464,35,14,0.37275501698562286,-10,-47,4.019680448849059,-2.927432698123617,60,23,3.4449416445168035,22,16,145,101,10,1,0.677663705494063,0.01926939887964333,0.03130454597883321,-0.14745558687884222,0.9099215573872677,-7.222081010679476,0.0035970328037758983,0.07880491379409267,252,115
